name_ru,name_en,year
Тернер и Хуч,Turner & Hooch,1989
UHF,UHF,1989
Дядя Бак,Uncle Buck,1989
"Война роз","War of the Roses, The",1989
"Волшебник","Wizard, The",1989
Выходные в Берни II,Weekend at Bernie's II,1993
Билли лжец,Billy Liar,1963
Черная халата,Black Robe,1991
"Cat O 'Nine Tails, (Gatto a nove Code, IL)","Cat o' Nine Tails, The (Gatto a nove code, Il)",1971
"Хлопковый клуб","Cotton Club, The",1984
Кто остановит дождь,Who'll Stop the Rain,1978
Корпус корзины,Basket Case,1982
Первородный грех,Original Sin,2001
"Дневники принцессы","Princess Diaries, The",2001
В час пик 2,Rush Hour 2,2001
Шоколат,Chocolat,1988
Опасность!,Hatari!,1962
"Cage Aux Folles","Cage aux Folles, La",1978
Марат/сказал,Marat/Sade,1966
Покрасьте свой универсал,Paint Your Wagon,1969
"Стреляй","Shootist, The",1976
Термен: электронная одиссея,Theremin: An Electronic Odyssey,1993
Измененные состояния,Altered States,1980
"Любой, как вы можете",Any Which Way You Can,1980
"Пробуждение","Awakening, The",1980
"Battle Creek Brawl (Big Brawl, The)","Battle Creek Brawl (Big Brawl, The)",1980
Американский пирог 2,American Pie 2,2001
Осмос Джонс,Osmosis Jones,2001
"Другие","Others, The",2001
Американские преступники,American Outlaws,2001
По всему парню,All Over the Guy,2001
"Глубокий конец","Deep End, The",2001
Сессия 9,Session 9,2001
Мандолина капитана Корелли,Captain Corelli's Mandolin,2001
Крысиная гонка,Rat Race,2001
Пузырьковый мальчик,Bubble Boy,2001
"Проклятие нефритового скорпиона","Curse of the Jade Scorpion, The",2001
Джей и молчаливый Боб ударяют,Jay and Silent Bob Strike Back,2001
Призраки Марса,Ghosts of Mars,2001
Летний улов,Summer Catch,2001
Счастливых несчастных случаев,Happy Accidents,2000
"Может быть, детка",Maybe Baby,2000
Вместе (вместе),Together (Tillsammans),2000
Тортилла суп,Tortilla Soup,2001
Джиперс -лианы,Jeepers Creepers,2001
О,O,2001
3 ниндзя,3 Ninjas,1992
3 ниндзя откинуть назад,3 Ninjas Kick Back,1994
"3 ниндзя, кустак",3 Ninjas Knuckle Up,1995
"Плетенный человек","Wicker Man, The",1973
"Мушкетер","Musketeer, The",2001
Rockstar,Rock Star,2001
Двое могут сыграть в эту игру,Two Can Play That Game,2001
ЛОЖЬ.,L.I.E.,2001
"Богоматерь Ассасинов (Вирген де Лос Сикариос, Лос -Анджелес)","Our Lady of the Assassins (Virgen de los sicarios, La)",2000
В руки незнакомцев: истории о Kindertransport,Into the Arms of Strangers: Stories of the Kindertransport,2000
"Стеклянный дом","Glass House, The",2001
Хардбол,Hardball,2001
Ужин,Dinner Rush,2000
Хайку Туннель,Haiku Tunnel,2001
Большая проблема,Big Trouble,2002
Блеск,Glitter,2001
Тренировочный день,Training Day,2001
"Американский астронавт","American Astronaut, The",2001
Лиам,Liam,2000
Тротуары Нью -Йорка,Sidewalks of New York,2001
"Выносливость: легендарная антарктическая экспедиция Шеклтона","Endurance: Shackleton's Legendary Antarctic Expedition, The",2000
"Женщина французского лейтенанта","French Lieutenant's Woman, The",1981
"Великая тишина, (великая тишина, Иллинойс)","Great Silence, The (Grande silenzio, Il)",1969
"Легенда о адском доме","Legend of Hell House, The",1973
Маленький человек Тейт,Little Man Tate,1991
Москва не верит в слезы (Moskva Slezam ne Verit),Moscow Does Not Believe in Tears (Moskva slezam ne verit),1979
Призрак рая,Phantom of the Paradise,1974
13 призраков,13 Ghosts,1960
Опера,Opera,1987
Отец Гусь,Father Goose,1964
"Трава зеленее","Grass Is Greener, The",1960
Нескромный,Indiscreet,1958
"Это безумный, безумный, безумный мир","It's a Mad, Mad, Mad, Mad World",1963
Шахты короля Соломона,King Solomon's Mines,1937
"Маленькие лисы","Little Foxes, The",1941
Операция «Плошка»,Operation Petticoat,1959
Играй туман для меня,Play Misty for Me,1971
Карман чудес,Pocketful of Miracles,1961
"Исчезая","Vanishing, The",1993
Шелковое дерево,Silkwood,1983
Я никогда не обещал тебе розовый сад,I Never Promised You a Rose Garden,1977
Квадрофения,Quadrophenia,1979
Космический корабль,SpaceCamp,1986
Когда миры сталкиваются,When Worlds Collide,1951
Не говори ни слова,Don't Say a Word,2001
Сердца в Атлантиде,Hearts in Atlantis,2001
Зооландер,Zoolander,2001
Экстремальные дни,Extreme Days,2001
Радость езды,Joy Ride,2001
Большой ход Макса Кибла,Max Keeble's Big Move,2001
Случайность,Serendipity,2001
"Болото, The (Ciénaga, LA)","Swamp, The (Ciénaga, La)",2001
"Большой красный","Big Red One, The",1980
"Boogeyman, The","Boogeyman, The",1980
"Вечеринка, (бум, Лос -Анджелес)","Party, The (Boum, La)",1980
Брубейкер,Brubaker,1980
Не могу остановить музыку,Can't Stop the Music,1980
"Подменые","Changeling, The",1980
Дочь шахтера,Coal Miner's Daughter,1980
"Конкуренция","Competition, The",1980
"Последнее метро, ​​(последнее метро, ​​LE)","Last Metro, The (Dernier métro, Le)",1980
Бандиты,Bandits,2001
Корки Романо,Corky Romano,2001
Железная обезьяна (si u you wong fe i-soul ghost ji: ti tm al au),Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau),1993
Толстая девушка (моей сестре!),Fat Girl (À ma soeur!),2001
Малхолланд Драйв,Mulholland Drive,2001
Мой первый мистер,My First Mister,2001
Спиганги (развертки),Spriggan (Supurigan),1998
Кости,Bones,2001
Грязный Гарри,Dirty Harry,1971
скрипач на крыше,Fiddler on the Roof,1971
Делая оценку,Making the Grade,1984
Не без моей дочери,Not Without My Daughter,1991
Женская проблема,Female Trouble,1975
Титаник,Titanica,1992
Из ада,From Hell,2001
"Последний замок","Last Castle, The",2001
Езда на машинах с мальчиками,Riding in Cars with Boys,2001
Фокус,Focus,2001
Пробуждение жизни,Waking Life,2001
K-PAX,K-PAX,2001
Тринадцать призраков (a.k.a. Thir13en Призраки),Thirteen Ghosts (a.k.a. Thir13en Ghosts),2001
"Лучше, чем секс",Better Than Sex,2000
Донни Дарко,Donnie Darko,2001
Высокие каблуки и низкая жизнь,High Heels and Low Lifes,2001
Жизнь как дом,Life as a House,2001
"Человек, которого там не было","Man Who Wasn't There, The",2001
"Город тихий, город тихий,)","Town is Quiet, The (Ville est tranquille, La)",2000
Внутреннее нарушение,Domestic Disturbance,2001
Корпорация монстров.,"Monsters, Inc.",2001
Один,"One, The",2001
Лента,Tape,2001
Ограбление,Heist,2001
Мелкий хэт,Shallow Hal,2001
Когда звонит незнакомец,When a Stranger Calls,1979
"Гарри Поттер и камень колдуна (например, Гарри Поттер и философский камень)",Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),2001
Новокаин,Novocaine,2001
Черный рыцарь,Black Knight,2001
Простудиться,Out Cold,2001
Шпионская игра,Spy Game,2001
"Дьявол, основа, (Espinazo del Diablo, EL)","Devil's Backbone, The (Espinazo del diablo, El)",2001
В спальне,In the Bedroom,2001
"Невероятная сокращающаяся женщина","Incredible Shrinking Woman, The",1981
бессмыслица,Jabberwocky,1977
Забавная девчонка,Funny Girl,1968
Затаив дыхание (задыхаясь),Breathless (À bout de souffle),1960
"Beastmaster","Beastmaster, The",1982
На полпути,Midway,1976
Макартур,MacArthur,1977
Метро,Subway,1985
"Теперь, Voyager","Now, Voyager",1942
Маленькая женщина,Little Women,1933
"Дешевый детектив","Cheap Detective, The",1978
Все знамениты!(Все знаменитые!),Everybody's Famous! (Iedereen beroemd!),2000
"Последняя волна","Last Wave, The",1977
Это неясное возражение против желания (этот неясный объект желания),That Obscure Object of Desire (Cet obscur objet du désir),1977
"Игрушка","Toy, The",1982
Отпадно одета,Dressed to Kill,1980
Слава,Fame,1980
"Окончательный отсчет","Final Countdown, The",1980
Флэш Гордон,Flash Gordon,1980
"Злая красная планета","Angry Red Planet, The",1959
"Enforcer","Enforcer, The",1976
"Глаз на глаза","Eye for an Eye, An",1981
"Рукавица","Gauntlet, The",1977
Владыка мух,Lord of the Flies,1990
Дебилы из космоса,Morons From Outer Space,1985
"Люди, в этот раз, забыли","People That Time Forgot, The",1977
Океан одиннадцать (a.k.a. Ocean's 11),Ocean's Eleven (a.k.a. Ocean's 11),1960
"Каскадера","Stunt Man, The",1980
Внезапное воздействие,Sudden Impact,1983
